time,token,volume_usdc,buy_place,token_amount,buy_slippage,sell_place,usdc_back,sell_slippage,profit_usd,profit_percent,backup_place,backup_usdc_back,backup_profit_percent
2026-04-28 22:55:39,WETH,10000,KyberSwap,4.353510254938961,0.0062,Odos,9991.8225,0.0082,-8.3386,-0.0834,ParaSwap,9991.1173,-0.0895
2026-04-28 22:55:50,WBTC,10000,ParaSwap,0.13114774,0.0097,KyberSwap,9991.2133,0.0034,-8.8092,-0.0881,Odos,9991.0728,-0.0897
2026-04-28 22:56:01,AAVE,10000,KyberSwap,102.84139716035328,0.2126,Odos,9899.8092,0.1102,-100.4,-1.004,ParaSwap,9892.7151,-1.0735
2026-04-28 22:56:14,UNI,10000,Odos,3017.1351021497694,1.2335,KyberSwap,9626.9338,0.9806,-373.3537,-3.7335,0x/Matcha,9622.7841,-3.7746
2026-04-28 22:56:26,LINK,10000,Odos,1075.2413500528874,0.2635,ParaSwap,9923.6413,0.0814,-76.5414,-0.7654,KyberSwap,9923.5594,-0.7662
2026-04-28 22:56:48,WMATIC,10000,ParaSwap,108695.9216521922,0.0295,KyberSwap,9989.9944,-0.0185,-10.0306,-0.1003,Odos,9986.4285,-0.1365
2026-04-28 22:56:57,DAI,10000,KyberSwap,10000.482723005,0.0014,Odos,9999.2393,0.0007,-0.7894,-0.0079,ParaSwap,9998.4577,-0.0157
2026-04-28 22:57:34,LDO,10000,Odos,25210.114949298077,1.5009,KyberSwap,9612.1087,0.8034,-387.9924,-3.8799,0x/Matcha,9596.3938,-4.0369
2026-04-28 22:57:54,WETH,10000,KyberSwap,4.3549913185455935,0.0062,Odos,9994.6113,0.0096,-5.4436,-0.0544,ParaSwap,9994.4034,-0.0563
2026-04-28 22:58:04,WBTC,10000,ParaSwap,0.13112195,0.0047,KyberSwap,9994.2097,0.0076,-5.8045,-0.058,Odos,9991.9257,-0.0809
2026-04-28 22:58:16,AAVE,10000,KyberSwap,102.83890967828253,0.2262,Odos,9899.3281,0.1102,-100.8179,-1.0082,ParaSwap,9892.4851,-1.0755
2026-04-28 22:58:26,UNI,10000,Odos,3017.136272279182,1.2335,KyberSwap,9625.7551,0.985,-374.4326,-3.7443,0x/Matcha,9621.9454,-3.7821
2026-04-28 22:58:37,LINK,10000,Odos,1075.2383344292439,0.2638,ParaSwap,9923.6802,0.0849,-76.4756,-0.7648,KyberSwap,9923.2057,-0.7695
2026-04-28 22:58:56,WMATIC,10000,ParaSwap,108689.67821553447,0.0534,Odos,9986.9534,0.0129,-13.1176,-0.1312,KyberSwap,9986.8861,-0.1314
2026-04-28 22:59:06,DAI,10000,KyberSwap,10000.4865993559,0.0013,Odos,9999.2094,0.0006,-0.8161,-0.0082,ParaSwap,9998.4304,-0.016
2026-04-28 22:59:47,LDO,10000,Odos,25212.5177840629,1.513,KyberSwap,9609.974,0.8426,-390.2188,-3.9022,0x/Matcha,9596.7233,-4.0345
2026-04-28 23:00:08,WETH,10000,ParaSwap,4.35461900971985,0.0071,Odos,9993.125,0.0054,-6.9244,-0.0692,KyberSwap,9993.041,-0.0698
2026-04-28 23:00:17,WBTC,10000,ParaSwap,0.13112101,0.003,KyberSwap,9992.1784,0.0023,-7.8395,-0.0784,Odos,9991.9744,-0.0804
2026-04-28 23:00:31,AAVE,10000,KyberSwap,102.86137149850593,0.2132,Odos,9901.0612,0.1099,-99.1058,-0.9911,ParaSwap,9894.4576,-1.0558
2026-04-28 23:00:42,UNI,10000,Odos,3017.150852735545,1.2656,KyberSwap,9624.8729,0.9878,-375.3237,-3.7532,0x/Matcha,9622.4746,-3.7769
2026-04-28 23:00:52,LINK,10000,Odos,1075.5592303298645,0.2774,KyberSwap,9925.5296,0.0995,-74.6477,-0.7465,ParaSwap,9922.6081,-0.7757
2026-04-28 23:01:11,WMATIC,10000,ParaSwap,108640.68832314783,0.0336,KyberSwap,9985.8777,0.0051,-14.1752,-0.1418,Odos,9982.1257,-0.1795
