time,token,status,reason,volume_usdc,small_test_usdc,buy_place,sell_place,backup_place,token_amount,usdc_back,backup_usdc_back,buy_slippage,sell_slippage,profit_usd,profit_percent,backup_profit_percent,spread_percent,route_pair,is_near_profit,buy_dexes_checked,sell_dexes_checked
2026-04-29 12:25:07,AAVE,ok,,500,125.0,KyberSwap,Odos,Sushi,5.08350924546357,497.8081,497.328,0.0221,0.0451,-2.2213,-0.4443,-0.5358,-0.4384,KyberSwap -> Odos,False,6,5
2026-04-29 12:25:07,WBTC,ok,,500,125.0,KyberSwap,Odos,Sushi,0.00644586,499.58,499.4406,0.0016,0.0001,-0.4364,-0.0873,-0.1141,-0.084,KyberSwap -> Odos,False,6,5
2026-04-29 12:25:09,WETH,ok,,500,125.0,KyberSwap,Odos,Sushi,0.21341592559669964,499.7873,499.6207,0.0004,-0.0299,-0.2236,-0.0447,-0.0772,-0.0425,KyberSwap -> Odos,True,6,5
2026-04-29 12:25:18,AAVE,ok,,1000,250.0,KyberSwap,Odos,Sushi,10.163654832767868,994.6027,994.0601,0.0451,0.0469,-5.4494,-0.5449,-0.5947,-0.5397,KyberSwap -> Odos,False,6,5
2026-04-29 12:25:19,WBTC,ok,,1000,250.0,KyberSwap,Odos,Sushi,0.01289097,999.1057,998.7291,0.0052,-0.0004,-0.915,-0.0915,-0.1279,-0.0894,KyberSwap -> Odos,False,6,5
2026-04-29 12:25:21,WETH,ok,,1000,250.0,KyberSwap,Odos,Sushi,0.4268095761539087,999.2257,999.1073,0.001,-0.0003,-0.7938,-0.0794,-0.09,-0.0774,KyberSwap -> Odos,False,6,5
2026-04-29 12:25:30,WBTC,ok,,2000,500.0,KyberSwap,Odos,Sushi,0.0257808,1998.0988,1996.998,0.0082,0.0005,-1.9283,-0.0964,-0.1511,-0.0951,KyberSwap -> Odos,False,6,4
2026-04-29 12:25:31,AAVE,ok,,2000,500.0,KyberSwap,Odos,Sushi,20.320563457879253,1987.5866,1986.7437,0.0621,0.0482,-12.4687,-0.6234,-0.6632,-0.6207,KyberSwap -> Odos,False,6,5
2026-04-29 12:25:31,WETH,ok,,2000,500.0,KyberSwap,Odos,Sushi,0.8536217138583317,1998.4512,1997.9046,0.0007,0.0003,-1.5714,-0.0786,-0.1049,-0.0774,KyberSwap -> Odos,False,6,5
2026-04-29 12:25:42,AAVE,ok,,5000,1250.0,KyberSwap,Odos,Sushi,50.75700039595517,4960.0502,4957.9847,0.1105,0.0732,-40.058,-0.8012,-0.8406,-0.799,KyberSwap -> Odos,False,6,5
